Using device: cuda
Using 1 GPUs
Epoch 2/50 | Batch 200/847 | Loss: 2.4410 | LR: 2.55e-04
Epoch 2/50 | Batch 210/847 | Loss: 2.4313 | LR: 2.57e-04
Epoch 2/50 | Batch 220/847 | Loss: 2.4222 | LR: 2.59e-04
Epoch 2/50 | Batch 230/847 | Loss: 2.4137 | LR: 2.62e-04
Epoch 2/50 | Batch 240/847 | Loss: 2.4056 | LR: 2.64e-04
Epoch 2/50 | Batch 250/847 | Loss: 2.3975 | LR: 2.66e-04
Epoch 2/50 | Batch 260/847 | Loss: 2.3896 | LR: 2.69e-04
Epoch 2/50 | Batch 270/847 | Loss: 2.3819 | LR: 2.71e-04
Epoch 2/50 | Batch 280/847 | Loss: 2.3748 | LR: 2.73e-04
Epoch 2/50 | Batch 290/847 | Loss: 2.3676 | LR: 2.76e-04
Epoch 2/50 | Batch 300/847 | Loss: 2.3607 | LR: 2.78e-04
Epoch 2/50 | Batch 310/847 | Loss: 2.3542 | LR: 2.80e-04
Epoch 2/50 | Batch 320/847 | Loss: 2.3476 | LR: 2.83e-04
Epoch 2/50 | Batch 330/847 | Loss: 2.3415 | LR: 2.85e-04
Epoch 2/50 | Batch 340/847 | Loss: 2.3354 | LR: 2.87e-04
Epoch 2/50 | Batch 350/847 | Loss: 2.3293 | LR: 2.90e-04
Epoch 2/50 | Batch 360/847 | Loss: 2.3236 | LR: 2.92e-04
Epoch 2/50 | Batch 370/847 | Loss: 2.3180 | LR: 2.94e-04
Epoch 2/50 | Batch 380/847 | Loss: 2.3127 | LR: 2.97e-04
Epoch 2/50 | Batch 390/847 | Loss: 2.3077 | LR: 2.99e-04
Epoch 2/50 | Batch 400/847 | Loss: 2.3028 | LR: 3.02e-04
Epoch 2/50 | Batch 410/847 | Loss: 2.2977 | LR: 3.04e-04
Epoch 2/50 | Batch 420/847 | Loss: 2.2931 | LR: 3.06e-04
Epoch 2/50 | Batch 430/847 | Loss: 2.2885 | LR: 3.09e-04
Epoch 2/50 | Batch 440/847 | Loss: 2.2841 | LR: 3.11e-04
Epoch 2/50 | Batch 450/847 | Loss: 2.2797 | LR: 3.13e-04
Epoch 2/50 | Batch 460/847 | Loss: 2.2755 | LR: 3.16e-04
Epoch 2/50 | Batch 470/847 | Loss: 2.2713 | LR: 3.18e-04
Epoch 2/50 | Batch 480/847 | Loss: 2.2672 | LR: 3.20e-04
Epoch 2/50 | Batch 490/847 | Loss: 2.2632 | LR: 3.23e-04
Epoch 2/50 | Batch 500/847 | Loss: 2.2594 | LR: 3.25e-04
Epoch 2/50 | Batch 510/847 | Loss: 2.2558 | LR: 3.27e-04
Epoch 2/50 | Batch 520/847 | Loss: 2.2520 | LR: 3.30e-04
Epoch 2/50 | Batch 530/847 | Loss: 2.2485 | LR: 3.32e-04
Epoch 2/50 | Batch 540/847 | Loss: 2.2449 | LR: 3.34e-04
Epoch 2/50 | Batch 550/847 | Loss: 2.2415 | LR: 3.37e-04
Epoch 2/50 | Batch 560/847 | Loss: 2.2382 | LR: 3.39e-04
Epoch 2/50 | Batch 570/847 | Loss: 2.2350 | LR: 3.41e-04
Epoch 2/50 | Batch 580/847 | Loss: 2.2319 | LR: 3.44e-04
